Processing Time:15.0001049042 msec.
Total number of births registered in a year by gender:
+----+------+----------+
|year|gender|sum(count)|
|2003|M     |1973434   |
|2004|F     |1834145   |
|2004|M     |1982794   |
|2005|F     |1845379   |
|2005|M     |1994841   |
|2006|F     |1898463   |
|2006|M     |2052377   |
|2007|F     |1919408   |
|2007|M     |2072139   |
|2008|F     |1887234   |
|2008|M     |2036289   |
|2009|F     |1832925   |
|2009|M     |1979303   |
|2010|F     |1772738   |
|2010|M     |1913851   |
|2011|F     |1753500   |
|2011|M     |1893230   |
|2012|F     |1753922   |
|2012|M     |1889414   |
|2013|F     |1745339   |
|2013|M     |1881463   |
|2014|F     |1768775   |
|2014|M     |1901376   |
+----+------+----------+
