Processing Time:28.9998054504 msec.
Total injuries and fatalities associated with each motor collision record:
Wall time: 29 ms
+----------+--------------------+-----------------+
|UNIQUE_KEY|All_Fatalities_Count|All_Injured_Count|
|3549179   |0                   |0                |
|3549174   |0                   |0                |
|3549304   |0                   |0                |
|3283556   |0                   |0                |
|3527361   |0                   |2                |
|3525990   |0                   |2                |
|3527463   |0                   |2                |
|3526480   |0                   |0                |
|3527639   |0                   |0                |
|3511959   |0                   |0                |
|3438628   |0                   |0                |
|3436604   |0                   |0                |
|3436884   |0                   |0                |
|3438884   |0                   |0                |
|3439217   |0                   |0                |
|3549066   |0                   |0                |
|3548291   |0                   |0                |
|3549158   |0                   |0                |
|3527362   |0                   |0                |
|3527459   |0                   |0                |
|3527416   |0                   |0                |
|3510383   |0                   |0                |
|3511162   |0                   |0                |
|3508421   |0                   |0                |
|3441909   |0                   |0                |
|3441086   |0                   |0                |
|3437130   |0                   |0                |
|3510765   |0                   |3                |
|3510374   |0                   |3                |
|3283601   |0                   |0                |
|3511247   |0                   |3                |
|3515416   |0                   |0                |
|3441461   |0                   |0                |
|3441038   |0                   |0                |
|3439320   |0                   |2                |
|3439334   |0                   |6                |
|3549122   |0                   |0                |
|3550004   |0                   |0                |
|3556568   |0                   |0                |
|3510453   |0                   |0                |
|3510647   |0                   |0                |
|3510846   |0                   |0                |
|3510667   |0                   |0                |
|3510682   |0                   |0                |
|3510537   |0                   |0                |
|3443380   |0                   |6                |
|3441194   |0                   |0                |
|3436976   |0                   |2                |
|3557417   |0                   |0                |
|3558419   |0                   |0                |
|3526366   |0                   |0                |
|3526939   |0                   |0                |
|3438211   |0                   |0                |
|3438067   |0                   |0                |
|3438582   |0                   |0                |
|3439103   |0                   |0                |
|3468997   |0                   |0                |
|3283293   |0                   |0                |
|3440538   |0                   |0                |
|3441445   |0                   |0                |
|3441722   |0                   |0                |
|3441258   |0                   |0                |
|3441298   |0                   |0                |
|3442244   |0                   |0                |
|3441948   |0                   |0                |
|3442755   |0                   |0                |
|3440880   |0                   |0                |
|3441196   |0                   |0                |
|3443186   |0                   |0                |
|3450230   |0                   |2                |
|3549301   |0                   |0                |
|3548744   |0                   |0                |
|3552368   |0                   |0                |
|3548739   |0                   |0                |
|3548526   |0                   |0                |
|3548709   |0                   |0                |
|3549166   |0                   |0                |
|3550515   |0                   |0                |
|3548746   |0                   |0                |
|3549101   |0                   |0                |
|3548504   |0                   |0                |
|3598509   |0                   |3                |
|3597593   |0                   |0                |
|3598635   |0                   |0                |
|3598213   |0                   |0                |
|3597600   |0                   |0                |
|3598217   |0                   |0                |
|3597881   |0                   |2                |
|3597736   |0                   |0                |
|3438797   |0                   |0                |
|3439213   |0                   |0                |
|3438104   |0                   |0                |
|3438987   |0                   |0                |
|3438072   |0                   |0                |
|3439445   |0                   |0                |
|3439338   |0                   |0                |
|3439104   |0                   |0                |
|3550655   |0                   |0                |
|3549521   |0                   |0                |
|3549802   |0                   |2                |
|3511216   |0                   |0                |
|3510544   |0                   |0                |
|3510603   |0                   |0                |
|3511964   |0                   |0                |
|3510625   |0                   |0                |
|3511060   |0                   |0                |
|3510343   |0                   |0                |
|3441804   |0                   |0                |
|3438798   |0                   |0                |
|3557062   |0                   |0                |
|3438312   |0                   |0                |
|3289688   |0                   |0                |
|3283351   |0                   |0                |
|140935    |0                   |0                |
|3548552   |0                   |2                |
|3550414   |0                   |6                |
|3548667   |0                   |0                |
|3527054   |0                   |0                |
|3526200   |0                   |0                |
|3526703   |0                   |0                |
|3527602   |0                   |0                |
|3514268   |0                   |0                |
|3509586   |0                   |0                |
|3508352   |0                   |0                |
|3508115   |0                   |0                |
|3438747   |0                   |0                |
|3510524   |0                   |0                |
|3442199   |0                   |0                |
|3442348   |0                   |0                |
|3442730   |0                   |0                |
|3442887   |0                   |0                |
|3443381   |0                   |0                |
|3441782   |0                   |0                |
|3462724   |0                   |0                |
|3441368   |0                   |0                |
|3441912   |0                   |2                |
|3510346   |0                   |0                |
|3510908   |0                   |0                |
|3510847   |0                   |0                |
|3442757   |0                   |0                |
|3442650   |0                   |0                |
|3442248   |0                   |0                |
|3442967   |0                   |0                |
|3444458   |0                   |0                |
|3438748   |0                   |0                |
|3437741   |0                   |2                |
|3437784   |0                   |2                |
|3439447   |0                   |4                |
|3437903   |0                   |0                |
|3510994   |0                   |0                |
|3511528   |0                   |0                |
|3283571   |0                   |2                |
|3510871   |0                   |0                |
|3510993   |0                   |0                |
|3440022   |0                   |0                |
|3526676   |0                   |3                |
|3527141   |0                   |3                |
|3510783   |0                   |0                |
|3517536   |0                   |0                |
|3511177   |0                   |0                |
|3510602   |0                   |3                |
|3510747   |0                   |3                |
|3437356   |0                   |0                |
|3442633   |0                   |0                |
|3439315   |0                   |2                |
|3438327   |0                   |0                |
|3439300   |0                   |0                |
|3437568   |0                   |0                |
|3283877   |0                   |0                |
|3442476   |0                   |0                |
|3442375   |0                   |2                |
|3442937   |0                   |4                |
|3441913   |0                   |0                |
|3440516   |0                   |0                |
|3440963   |0                   |0                |
|3441672   |0                   |0                |
|3443135   |0                   |0                |
|3442112   |0                   |0                |
|3441870   |0                   |0                |
|3442586   |0                   |2                |
|3447882   |0                   |2                |
|3441315   |0                   |0                |
|3526387   |0                   |4                |
|3532341   |0                   |0                |
|3528785   |0                   |0                |
|3533293   |0                   |4                |
|3510606   |0                   |0                |
|3511327   |0                   |0                |
|3442652   |0                   |0                |
|3438364   |0                   |2                |
|3438995   |0                   |0                |
|3569848   |0                   |0                |
